,t_start,t_end,t_space_start,t_space_end
1,819,897,117357033.387795,117360983.387795
2,911,928,117361633.387795,117362533.387795
3,996,1008,117365883.387795,117366533.387795
4,1041,1129,117368133.387795,117372583.387795
5,1133,1137,117372733.387795,117372983.387795
6,1149,1149,117373533.387795,117373583.387795
7,1222,1257,117377183.387795,117378983.387795
8,1260,1262,117379083.387795,117379233.387795
9,1276,1276,117379883.387795,117379933.387795
10,1293,1294,117380733.387795,117380833.387795
11,1324,1324,117382283.387795,117382333.387795
12,1330,1330,117382583.387795,117382633.387795
13,1336,1386,117382883.387795,117385433.387795
14,1389,1389,117385533.387795,117385583.387795
15,1394,1394,117385783.387795,117385833.387795
16,1421,1421,117387133.387795,117387183.387795
17,1425,1425,117387333.387795,117387383.387795
18,1520,1520,117392083.387795,117392133.387795
19,1522,1707,117392183.387795,117401483.387795
20,1710,1928,117401583.387795,117412533.387795
21,1931,1983,117412633.387795,117415283.387795
22,2001,2002,117416133.387795,117416233.387795
23,2005,2007,117416333.387795,117416483.387795
24,2011,2011,117416633.387795,117416683.387795
25,2017,2017,117416933.387795,117416983.387795
